2016-10-18 11:53:48,647 - DEBUG - Starting BlackJack.py...
2016-10-18 11:54:03,243 - INFO - ***Total EV : -0.784, sum of probas : 100.000, t1 : 2.0s, t2 : 1.2s, t3 : 11.3s, t_sum : 14.5s
2016-10-18 11:54:17,375 - INFO - ***Total EV : -0.957, sum of probas : 100.000, t1 : 1.7s, t2 : 1.2s, t3 : 11.2s, t_sum : 14.1s
2016-10-18 11:54:31,449 - INFO - ***Total EV : -0.869, sum of probas : 100.000, t1 : 1.6s, t2 : 1.2s, t3 : 11.2s, t_sum : 14.0s
2016-10-18 11:54:45,415 - INFO - ***Total EV : -0.908, sum of probas : 100.000, t1 : 1.5s, t2 : 1.2s, t3 : 11.2s, t_sum : 13.9s
2016-10-18 11:54:59,285 - INFO - ***Total EV : -1.207, sum of probas : 100.000, t1 : 1.5s, t2 : 1.1s, t3 : 11.2s, t_sum : 13.9s
2016-10-18 11:55:13,257 - INFO - ***Total EV : -1.023, sum of probas : 100.000, t1 : 1.6s, t2 : 1.2s, t3 : 11.1s, t_sum : 13.9s
2016-10-18 11:55:27,262 - INFO - ***Total EV : -1.047, sum of probas : 100.000, t1 : 1.5s, t2 : 1.2s, t3 : 11.2s, t_sum : 13.9s
2016-10-18 11:55:41,196 - INFO - ***Total EV : -1.067, sum of probas : 100.000, t1 : 1.5s, t2 : 1.2s, t3 : 11.2s, t_sum : 13.9s
2016-10-18 11:55:55,255 - INFO - ***Total EV : -0.907, sum of probas : 100.000, t1 : 1.6s, t2 : 1.1s, t3 : 11.3s, t_sum : 14.0s
2016-10-18 11:56:09,459 - INFO - ***Total EV : -1.298, sum of probas : 100.000, t1 : 1.6s, t2 : 1.2s, t3 : 11.4s, t_sum : 14.2s
2016-10-18 11:56:23,566 - INFO - ***Total EV : -2.199, sum of probas : 100.000, t1 : 1.6s, t2 : 1.2s, t3 : 11.3s, t_sum : 14.1s
2016-10-18 11:56:23,566 - INFO - Game 1 winnings: 0.00. Overall winnings: 0.00 (edge = N/A%). 11 hands. 0 spreads (0.0%)
2016-10-18 11:56:37,432 - INFO - ***Total EV : -0.784, sum of probas : 100.000, t1 : 1.5s, t2 : 1.2s, t3 : 11.2s, t_sum : 13.9s
2016-10-18 11:56:51,337 - INFO - ***Total EV : -1.044, sum of probas : 100.000, t1 : 1.6s, t2 : 1.1s, t3 : 11.1s, t_sum : 13.8s
2016-10-18 11:57:05,315 - INFO - ***Total EV : -1.929, sum of probas : 100.000, t1 : 1.5s, t2 : 1.2s, t3 : 11.2s, t_sum : 13.9s
2016-10-18 11:57:19,331 - INFO - ***Total EV : -2.241, sum of probas : 100.000, t1 : 1.5s, t2 : 1.2s, t3 : 11.3s, t_sum : 14.0s
2016-10-18 11:57:33,350 - INFO - ***Total EV : -2.154, sum of probas : 100.000, t1 : 1.6s, t2 : 1.2s, t3 : 11.2s, t_sum : 14.0s
2016-10-18 11:57:47,377 - INFO - ***Total EV : -1.811, sum of probas : 100.000, t1 : 1.5s, t2 : 1.2s, t3 : 11.3s, t_sum : 14.0s
2016-10-18 11:58:01,328 - INFO - ***Total EV : -2.040, sum of probas : 100.000, t1 : 1.6s, t2 : 1.2s, t3 : 11.2s, t_sum : 13.9s
2016-10-18 11:58:15,082 - INFO - ***Total EV : -2.197, sum of probas : 100.000, t1 : 1.6s, t2 : 1.2s, t3 : 11.0s, t_sum : 13.7s
2016-10-18 11:58:28,976 - INFO - ***Total EV : -2.242, sum of probas : 100.000, t1 : 1.5s, t2 : 1.2s, t3 : 11.2s, t_sum : 13.9s
2016-10-18 11:58:42,892 - INFO - ***Total EV : -1.807, sum of probas : 100.000, t1 : 1.5s, t2 : 1.2s, t3 : 11.2s, t_sum : 13.9s
2016-10-18 11:58:56,969 - INFO - ***Total EV : -2.347, sum of probas : 100.000, t1 : 1.5s, t2 : 1.2s, t3 : 11.3s, t_sum : 14.0s
2016-10-18 11:58:56,985 - INFO - Game 2 winnings: 0.00. Overall winnings: 0.00 (edge = N/A%). 22 hands. 0 spreads (0.0%)
2016-10-18 11:59:10,860 - INFO - ***Total EV : -0.784, sum of probas : 100.000, t1 : 1.5s, t2 : 1.2s, t3 : 11.2s, t_sum : 13.9s
2016-10-18 11:59:24,652 - INFO - ***Total EV : -1.231, sum of probas : 100.000, t1 : 1.6s, t2 : 1.2s, t3 : 11.0s, t_sum : 13.8s
2016-10-18 11:59:38,728 - INFO - ***Total EV : -0.967, sum of probas : 100.000, t1 : 1.5s, t2 : 1.2s, t3 : 11.3s, t_sum : 14.0s
2016-10-18 11:59:52,711 - INFO - ***Total EV : -1.455, sum of probas : 100.000, t1 : 1.6s, t2 : 1.2s, t3 : 11.2s, t_sum : 14.0s
2016-10-18 12:00:06,609 - INFO - ***Total EV : -1.185, sum of probas : 100.000, t1 : 1.5s, t2 : 1.2s, t3 : 11.1s, t_sum : 13.8s
2016-10-18 12:00:20,699 - INFO - ***Total EV : -1.140, sum of probas : 100.000, t1 : 1.6s, t2 : 1.2s, t3 : 11.3s, t_sum : 14.0s
2016-10-18 12:00:34,747 - INFO - ***Total EV : -1.649, sum of probas : 100.000, t1 : 1.5s, t2 : 1.2s, t3 : 11.3s, t_sum : 14.0s
2016-10-18 12:00:49,077 - INFO - ***Total EV : -1.649, sum of probas : 100.000, t1 : 1.6s, t2 : 1.2s, t3 : 11.1s, t_sum : 13.9s
2016-10-18 12:01:02,928 - INFO - ***Total EV : -0.787, sum of probas : 100.000, t1 : 1.5s, t2 : 1.2s, t3 : 11.1s, t_sum : 13.8s
2016-10-18 12:01:16,987 - INFO - ***Total EV : -0.925, sum of probas : 100.000, t1 : 1.5s, t2 : 1.2s, t3 : 11.3s, t_sum : 14.0s
2016-10-18 12:01:30,942 - INFO - ***Total EV : -1.626, sum of probas : 100.000, t1 : 1.6s, t2 : 1.2s, t3 : 11.1s, t_sum : 13.9s
2016-10-18 12:01:30,957 - INFO - Game 3 winnings: 0.00. Overall winnings: 0.00 (edge = N/A%). 33 hands. 0 spreads (0.0%)
2016-10-18 12:01:44,771 - INFO - ***Total EV : -0.784, sum of probas : 100.000, t1 : 1.5s, t2 : 1.1s, t3 : 11.1s, t_sum : 13.8s
2016-10-18 12:01:58,426 - INFO - ***Total EV : -0.646, sum of probas : 100.000, t1 : 1.5s, t2 : 1.2s, t3 : 10.9s, t_sum : 13.6s
