2016-10-18 02:24:33,776 - DEBUG - Starting BlackJack.py...
2016-10-18 02:24:47,769 - INFO - ***Total EV : -0.784, sum of probas : 100.000, t1 : 2.0s, t2 : 1.1s, t3 : 10.8s, t_sum : 13.9s
2016-10-18 02:25:01,482 - INFO - ***Total EV : -0.993, sum of probas : 100.000, t1 : 1.6s, t2 : 1.1s, t3 : 10.8s, t_sum : 13.6s
2016-10-18 02:25:14,866 - INFO - ***Total EV : -0.886, sum of probas : 100.000, t1 : 1.6s, t2 : 1.1s, t3 : 10.6s, t_sum : 13.3s
2016-10-18 02:25:28,189 - INFO - ***Total EV : -1.101, sum of probas : 100.000, t1 : 1.5s, t2 : 1.1s, t3 : 10.7s, t_sum : 13.3s
2016-10-18 02:25:41,542 - INFO - ***Total EV : -0.786, sum of probas : 100.000, t1 : 1.5s, t2 : 1.1s, t3 : 10.8s, t_sum : 13.3s
2016-10-18 02:25:55,005 - INFO - ***Total EV : -1.098, sum of probas : 100.000, t1 : 1.5s, t2 : 1.1s, t3 : 10.8s, t_sum : 13.4s
2016-10-18 02:26:08,468 - INFO - ***Total EV : -0.905, sum of probas : 100.000, t1 : 1.6s, t2 : 1.1s, t3 : 10.8s, t_sum : 13.4s
2016-10-18 02:26:21,775 - INFO - ***Total EV : -0.210, sum of probas : 100.000, t1 : 1.5s, t2 : 1.1s, t3 : 10.7s, t_sum : 13.2s
2016-10-18 02:26:35,019 - INFO - ***Total EV : -0.165, sum of probas : 100.000, t1 : 1.5s, t2 : 1.1s, t3 : 10.6s, t_sum : 13.2s
2016-10-18 02:26:48,389 - INFO - ***Total EV : -1.251, sum of probas : 100.000, t1 : 1.5s, t2 : 1.1s, t3 : 10.7s, t_sum : 13.3s
2016-10-18 02:27:01,805 - INFO - ***Total EV : -2.247, sum of probas : 100.000, t1 : 1.5s, t2 : 1.1s, t3 : 10.7s, t_sum : 13.4s
2016-10-18 02:27:01,820 - INFO - Game 1 winnings: 0.00. Overall winnings: 0.00 (edge = N/A%). 11 hands. 0 spreads (0.0%)
2016-10-18 02:27:15,143 - INFO - ***Total EV : -0.784, sum of probas : 100.000, t1 : 1.5s, t2 : 1.1s, t3 : 10.7s, t_sum : 13.3s
2016-10-18 02:27:28,434 - INFO - ***Total EV : -0.804, sum of probas : 100.000, t1 : 1.5s, t2 : 1.1s, t3 : 10.6s, t_sum : 13.2s
2016-10-18 02:27:41,694 - INFO - ***Total EV : -0.926, sum of probas : 100.000, t1 : 1.5s, t2 : 1.1s, t3 : 10.7s, t_sum : 13.3s
2016-10-18 02:27:54,876 - INFO - ***Total EV : -0.953, sum of probas : 100.000, t1 : 1.5s, t2 : 1.1s, t3 : 10.6s, t_sum : 13.2s
2016-10-18 02:28:08,120 - INFO - ***Total EV : -1.288, sum of probas : 100.000, t1 : 1.5s, t2 : 1.1s, t3 : 10.6s, t_sum : 13.2s
2016-10-18 02:28:21,412 - INFO - ***Total EV : -1.778, sum of probas : 100.000, t1 : 1.5s, t2 : 1.1s, t3 : 10.6s, t_sum : 13.2s
2016-10-18 02:28:34,781 - INFO - ***Total EV : -2.180, sum of probas : 100.000, t1 : 1.5s, t2 : 1.1s, t3 : 10.7s, t_sum : 13.3s
2016-10-18 02:28:48,166 - INFO - ***Total EV : -2.283, sum of probas : 100.000, t1 : 1.5s, t2 : 1.1s, t3 : 10.7s, t_sum : 13.4s
2016-10-18 02:29:01,504 - INFO - ***Total EV : -2.684, sum of probas : 100.000, t1 : 1.5s, t2 : 1.1s, t3 : 10.7s, t_sum : 13.3s
2016-10-18 02:29:14,701 - INFO - ***Total EV : -2.073, sum of probas : 100.000, t1 : 1.5s, t2 : 1.1s, t3 : 10.6s, t_sum : 13.2s
2016-10-18 02:29:27,992 - INFO - ***Total EV : -1.962, sum of probas : 100.000, t1 : 1.5s, t2 : 1.1s, t3 : 10.7s, t_sum : 13.2s
2016-10-18 02:29:27,992 - INFO - Game 2 winnings: 0.00. Overall winnings: 0.00 (edge = N/A%). 22 hands. 0 spreads (0.0%)
2016-10-18 02:29:41,284 - INFO - ***Total EV : -0.784, sum of probas : 100.000, t1 : 1.5s, t2 : 1.1s, t3 : 10.7s, t_sum : 13.3s
2016-10-18 02:29:55,059 - INFO - ***Total EV : -0.941, sum of probas : 100.000, t1 : 1.5s, t2 : 1.1s, t3 : 10.7s, t_sum : 13.3s
2016-10-18 02:30:08,428 - INFO - ***Total EV : -1.012, sum of probas : 100.000, t1 : 1.5s, t2 : 1.1s, t3 : 10.7s, t_sum : 13.3s
2016-10-18 02:30:21,781 - INFO - ***Total EV : -1.037, sum of probas : 100.000, t1 : 1.5s, t2 : 1.1s, t3 : 10.7s, t_sum : 13.3s
2016-10-18 02:30:35,119 - INFO - ***Total EV : -0.939, sum of probas : 100.000, t1 : 1.5s, t2 : 1.1s, t3 : 10.7s, t_sum : 13.3s
2016-10-18 02:30:48,426 - INFO - ***Total EV : -1.179, sum of probas : 100.000, t1 : 1.5s, t2 : 1.1s, t3 : 10.7s, t_sum : 13.3s
2016-10-18 02:31:01,733 - INFO - ***Total EV : -1.715, sum of probas : 100.000, t1 : 1.5s, t2 : 1.1s, t3 : 10.7s, t_sum : 13.3s
2016-10-18 02:31:15,009 - INFO - ***Total EV : -2.493, sum of probas : 100.000, t1 : 1.5s, t2 : 1.1s, t3 : 10.6s, t_sum : 13.3s
2016-10-18 02:31:28,456 - INFO - ***Total EV : -1.933, sum of probas : 100.000, t1 : 1.5s, t2 : 1.1s, t3 : 10.8s, t_sum : 13.4s
2016-10-18 02:31:41,872 - INFO - ***Total EV : -1.830, sum of probas : 100.000, t1 : 1.5s, t2 : 1.1s, t3 : 10.7s, t_sum : 13.3s
2016-10-18 02:31:55,210 - INFO - ***Total EV : -1.868, sum of probas : 100.000, t1 : 1.5s, t2 : 1.1s, t3 : 10.7s, t_sum : 13.3s
2016-10-18 02:31:55,210 - INFO - Game 3 winnings: 0.00. Overall winnings: 0.00 (edge = N/A%). 33 hands. 0 spreads (0.0%)
2016-10-18 02:32:08,517 - INFO - ***Total EV : -0.784, sum of probas : 100.000, t1 : 1.5s, t2 : 1.1s, t3 : 10.7s, t_sum : 13.3s
2016-10-18 02:32:21,870 - INFO - ***Total EV : -0.731, sum of probas : 100.000, t1 : 1.5s, t2 : 1.1s, t3 : 10.7s, t_sum : 13.2s
2016-10-18 02:32:35,146 - INFO - ***Total EV : -0.567, sum of probas : 100.000, t1 : 1.5s, t2 : 1.1s, t3 : 10.7s, t_sum : 13.3s
